Year,Status,PTS,FG,FGA,FGP,TP,TPA,TPP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1980,Champion,109.5,45,92,48.91304348,0,0.666666667,0,19.5,24,81.25,17.16666667,34.16666667,51.33333333,26.66666667,9.166666667,6.166666667,20,24.5
1980,Runner Up,104.1666667,43,88.33333333,48.67924528,0.166666667,2.666666667,6.25,18,24,75,9.5,27.66666667,37.16666667,31,9.333333333,10,15.16666667,22.5
1981,Champion,96.5,40.16666667,85.33333333,47.0703125,0.5,2.833333333,17.64705882,15.66666667,21.5,72.86821705,16.66666667,30.66666667,47.33333333,22.83333333,6.666666667,5.333333333,16.83333333,23.16666667
1981,Runner Up,86.66666667,33.83333333,89.33333333,37.87313433,0.5,1.833333333,27.27272727,18.5,25.83333333,71.61290323,18.66666667,24,42.66666667,18,7.833333333,5.666666667,13.16666667,20.16666667
1982,Champion,112.3333333,45.5,91.83333333,49.54627949,0.166666667,1.5,11.11111111,21.16666667,31.5,67.1957672,18.33333333,29,47.33333333,31.33333333,10.66666667,7,19.33333333,25.5
1982,Runner Up,112.5,46.16666667,92.5,49.90990991,0.666666667,2.333333333,28.57142857,19.5,27.83333333,70.05988024,15,26.66666667,41.66666667,28.66666667,8.833333333,8.5,16.66666667,26.5
1983,Champion,110.5,43,88.5,48.58757062,0,0.75,0,24.5,34.5,71.01449275,18,30,48,26,11,8,17,22.25
1983,Runner Up,100.5,40.75,90.25,45.15235457,0.75,3.75,20,18.25,23.25,78.49462366,15.25,27.5,42.75,24.5,9,7.25,20,30
1984,Champion,116,42,92.85714286,45.23076923,1.285714286,3.285714286,39.13043478,30.71428571,38.57142857,79.62962963,17.42857143,30,47.42857143,24.14285714,9.857142857,4.571428571,15.85714286,28.14285714
1984,Runner Up,117.4285714,46.71428571,90.71428571,51.49606299,0.857142857,2.571428571,33.33333333,23.14285714,32.85714286,70.43478261,13.71428571,30,43.71428571,28.28571429,8.428571429,5.857142857,16.57142857,29.42857143
1985,Champion,115.8333333,46.33333333,90.5,51.19705341,1.333333333,3.833333333,34.7826087,21.83333333,29.66666667,73.59550562,11,31.66666667,42.66666667,32,9.166666667,4,12.5,25.33333333
1985,Runner Up,113.1666667,43.83333333,92,47.64492754,2.166666667,5.666666667,38.23529412,23.33333333,30.33333333,76.92307692,12.33333333,30.83333333,43.16666667,30.83333333,8.666666667,5,14,22.16666667
1986,Champion,107.6666667,43.66666667,88.83333333,49.15572233,1.666666667,5.333333333,31.25,18.66666667,23,81.15942029,15,30.16666667,45.16666667,28,9.833333333,7.166666667,15.83333333,21
1986,Runner Up,102,41.83333333,92.83333333,45.06283662,0.833333333,2.833333333,29.41176471,17.5,24.66666667,70.94594595,18.5,27,45.5,27.5,9,6.666666667,14.33333333,22.16666667
1987,Champion,115.1666667,46.66666667,90.66666667,51.47058824,2.666666667,6.833333333,39.02439024,19.16666667,25.83333333,74.19354839,12.83333333,27.5,40.33333333,26.66666667,8,5.833333333,11.16666667,23.83333333
1987,Runner Up,111,43.66666667,86.16666667,50.67698259,2.333333333,7,33.33333333,21.33333333,27,79.01234568,12,29.33333333,41.33333333,27.83333333,5,5.5,13.66666667,21.33333333
1988,Champion,98.71428571,35.42857143,75.85714286,46.70433145,1.428571429,5.714285714,25,26.42857143,35.28571429,74.89878543,10.28571429,27.28571429,37.57142857,23.71428571,5.857142857,3,13.14285714,22
1988,Runner Up,101.2857143,38.57142857,81,47.61904762,1.285714286,4.428571429,29.03225806,22.85714286,29.71428571,76.92307692,13.57142857,30,43.57142857,23.28571429,6.857142857,4.857142857,11.71428571,26.71428571
1989,Champion,109,41.75,79.25,52.68138801,1.25,5,25,24.25,31.25,77.6,11.25,28.75,40,24.25,4,5.25,11.25,28.75
1989,Runner Up,102.25,36,77.5,46.4516129,3.25,10.75,30.23255814,27,36,75,11.75,24.5,36.25,23,5.5,4,11.75,26
1990,Champion,107,39.4,86.8,45.39170507,5,11.2,44.64285714,23.2,31.4,73.88535032,14.4,29,43.4,18.8,5.6,5,15,27.6
1990,Runner Up,102,37.4,82,45.6097561,2.2,9.4,23.40425532,25,33.8,73.96449704,11.4,29,40.4,20.6,7.2,3.4,16.4,29.8
1991,Champion,101.4,42.6,80.8,52.72277228,1,4.2,23.80952381,15.2,18.4,82.60869565,11,28.2,39.2,27.8,9.8,5,12.6,21.4
1991,Runner Up,91.6,33.4,74.8,44.65240642,2.6,9.2,28.26086957,22.2,27.4,81.02189781,11.8,23.8,35.6,19.2,6.8,4.4,15,19.2
1992,Champion,104,40.16666667,79.66666667,50.41841004,4.166666667,10.83333333,38.46153846,19.5,27.16666667,71.7791411,10.16666667,27.33333333,37.5,26.83333333,7,5.166666667,15,25.83333333
1992,Runner Up,96.66666667,35.33333333,79.83333333,44.25887265,1.666666667,8.666666667,19.23076923,24.33333333,30.83333333,78.91891892,13.66666667,28.16666667,41.83333333,20.83333333,7.833333333,3.833333333,17,25.83333333
1993,Champion,106.6666667,43.83333333,90.66666667,48.34558824,5.333333333,11.5,46.37681159,13.66666667,21.66666667,63.07692308,14.33333333,28.83333333,43.16666667,26.83333333,8,5.333333333,11.83333333,23.5
1993,Runner Up,106.6666667,40.66666667,86.83333333,46.83301344,4.5,10.33333333,43.5483871,20.83333333,26.83333333,77.63975155,14.33333333,29,43.33333333,22.5,6.833333333,7.666666667,13.16666667,22.16666667
1994,Champion,86.14285714,31.85714286,74.71428571,42.63862333,5.285714286,17.28571429,30.5785124,17.14285714,22.71428571,75.47169811,10.57142857,29.42857143,40,20.85714286,7.142857143,5.142857143,15.42857143,21.28571429
1994,Runner Up,86.85714286,33.14285714,81.42857143,40.70175439,5.142857143,15,34.28571429,15.42857143,21.14285714,72.97297297,15,28,43,21.71428571,8.142857143,6.142857143,12.71428571,22.85714286
1995,Champion,114,40.5,85.75,47.2303207,9.25,23,40.2173913,23.75,30.75,77.23577236,11,32.25,43.25,26.25,10,5,9.75,20.75
1995,Runner Up,107,40.75,87.5,46.57142857,10.25,29.5,34.74576271,15.25,22.25,68.53932584,12,34,46,27.5,5.25,5,16,24.25
1996,Champion,93,32.83333333,79,41.56118143,6,22.83333333,26.27737226,21.33333333,28.16666667,75.73964497,16.83333333,24,40.83333333,21.66666667,8.333333333,4.166666667,13.33333333,24.83333333
1996,Runner Up,89.16666667,31,69.66666667,44.49760766,5.333333333,17,31.37254902,21.83333333,25.66666667,85.06493506,11.16666667,26,37.16666667,16.83333333,6,2.666666667,16,25.83333333
1997,Champion,87.83333333,32.33333333,74.83333333,43.20712695,6.5,18.66666667,34.82142857,16.66666667,23.5,70.92198582,10.66666667,29.66666667,40.33333333,19.66666667,7.666666667,5.333333333,11.33333333,23.33333333
1997,Runner Up,87.16666667,30.83333333,71.66666667,43.02325581,5.833333333,14.16666667,41.17647059,19.66666667,26.83333333,73.29192547,10,30.83333333,40.83333333,20.16666667,7.333333333,3.5,12.83333333,22.83333333
1998,Champion,88,32.5,75.5,43.04635762,4.333333333,14.66666667,29.54545455,18.66666667,24.66666667,75.67567568,12.16666667,25.5,37.66666667,18.33333333,10,4.5,12,21
1998,Runner Up,80.16666667,31.83333333,71.83333333,44.31554524,2.166666667,10,21.66666667,14.33333333,18.66666667,76.78571429,10.16666667,27.83333333,38,21.33333333,6.333333333,2.666666667,16.33333333,25
1999,Champion,84.8,30,67.4,44.51038576,4.2,12.4,33.87096774,20.6,28.2,73.04964539,8.4,32.2,40.6,20.2,6.4,5.8,15.4,20
1999,Runner Up,79.8,30.8,78.6,39.18575064,2.2,10.8,20.37037037,16,21,76.19047619,9.8,28.4,38.2,14,8,3.4,11.6,24.6
2000,Champion,104.8333333,41,85.33333333,48.046875,5.833333333,15.33333333,38.04347826,17,29.83333333,56.98324022,12.16666667,29.16666667,41.33333333,23.33333333,6.833333333,5.166666667,10.83333333,26.66666667
2000,Runner Up,106.6666667,36.33333333,78.5,46.28450106,8.166666667,19.33333333,42.24137931,25.83333333,30.33333333,85.16483516,8.666666667,32.5,41.16666667,20.16666667,5.5,4.333333333,10.83333333,26.5
2001,Champion,100.6,36.2,77.8,46.52956298,7.2,15,48,21,31,67.74193548,13.4,31.8,45.2,23,8.2,8.8,14.8,23.2
2001,Runner Up,93.8,35.4,83.4,42.44604317,3.4,11.8,28.81355932,19.6,27.4,71.53284672,13.2,29.6,42.8,18.4,7.8,4.8,12.4,25
2002,Champion,106,36.5,72.25,50.51903114,7.25,15.25,47.54098361,25.75,35.25,73.04964539,10.75,33.25,44,23,7,7,15,19.5
2002,Runner Up,96.75,38.75,88.75,43.66197183,4.5,14.75,30.50847458,14.75,22,67.04545455,15,24,39,21.5,9.5,4.5,11.25,26.25
2003,Champion,87.83333333,32.16666667,74.5,43.17673378,4,12.5,32,19.5,27.66666667,70.48192771,12.33333333,33.5,45.83333333,18.16666667,7.833333333,9.833333333,15.83333333,20.5
2003,Runner Up,82,30.33333333,82,36.99186992,3.833333333,13.83333333,27.71084337,17.5,22.33333333,78.35820896,14.33333333,28.16666667,42.5,16.66666667,7.833333333,6.333333333,13.66666667,24.16666667
2004,Champion,90.8,31.4,73.2,42.89617486,4.2,13.2,31.81818182,23.8,34.2,69.59064327,14.4,31.2,45.6,17.8,7.8,4,12.6,20.6
2004,Runner Up,81.8,31.6,76,41.57894737,4.4,17.8,24.71910112,14.2,22.2,63.96396396,10.4,27.2,37.6,20.6,7.2,2.8,13.2,28.4
2005,Champion,84.85714286,30.85714286,71.85714286,42.94234592,7.285714286,18.28571429,39.84375,15.85714286,22.71428571,69.81132075,12.28571429,29.42857143,41.71428571,16.42857143,4.571428571,5.571428571,15,20.28571429
2005,Runner Up,86.71428571,35.42857143,81.57142857,43.43257443,2.571428571,10.71428571,24,13.28571429,18,73.80952381,13.71428571,27.28571429,41,18.57142857,9,7.571428571,8.714285714,21.28571429
2006,Champion,92.83333333,33.33333333,72.83333333,45.76659039,5.333333333,17.5,30.47619048,20.83333333,34.5,60.38647343,10.5,33.33333333,43.83333333,16.66666667,7.833333333,3.833333333,16,24.33333333
2006,Runner Up,91.83333333,33,78.16666667,42.21748401,5.5,19.33333333,28.44827586,20.33333333,25.83333333,78.70967742,10.16666667,31.66666667,41.83333333,15.83333333,7.333333333,3.333333333,14.5,27.33333333
2007,Champion,86.5,32,72,44.44444444,7.25,19.5,37.17948718,15.25,23,66.30434783,10.75,33,43.75,16.75,6,3.75,13,18
2007,Runner Up,80.5,31,78.5,39.49044586,5.5,18.75,29.33333333,13,18.75,69.33333333,12.25,28.75,41,16.5,6.25,2.75,11,19
2008,Champion,102.1666667,34.33333333,77.33333333,44.39655172,8.666666667,20.16666667,42.97520661,24.83333333,31.83333333,78.0104712,10.83333333,31.33333333,42.16666667,23,8.666666667,4,12.83333333,24.66666667
2008,Runner Up,93.83333333,33,74.83333333,44.09799555,7.166666667,20.66666667,34.67741935,20.66666667,28.33333333,72.94117647,8.166666667,29,37.16666667,19.33333333,6.833333333,3.166666667,13.5,26
2009,Champion,100.6,38,83.2,45.67307692,6.4,17.2,37.20930233,18.2,24,75.83333333,10.6,30,40.6,16.4,7.2,5.2,10,24.2
2009,Runner Up,91.2,32.2,75.2,42.81914894,7.6,23,33.04347826,19.2,27.8,69.0647482,7.6,30.6,38.2,18.4,6,6,14,22
2010,Champion,90.57142857,31.85714286,76.28571429,41.76029963,5,17.85714286,28,21.85714286,28.57142857,76.5,13.14285714,29.28571429,42.42857143,14.57142857,7.285714286,6.142857143,12.42857143,22.28571429
2010,Runner Up,87.14285714,33,76.14285714,43.33958724,4.714285714,15.28571429,30.8411215,16.42857143,21.28571429,77.18120805,10.14285714,27.71428571,37.85714286,19.71428571,7,4.285714286,13.14285714,24.85714286
2011,Champion,94.66666667,33,72.66666667,45.41284404,8.5,20.66666667,41.12903226,20.16666667,25.83333333,78.06451613,9.166666667,28.5,37.66666667,18.16666667,7.166666667,4,13.16666667,19.66666667
2011,Runner Up,92.33333333,33.66666667,74.66666667,45.08928571,7.5,21.66666667,34.61538462,17.5,24.66666667,70.94594595,10.66666667,27.83333333,38.5,19.5,8,4.5,12.83333333,21.33333333
2012,Champion,99.66666667,35.33333333,77,45.88744589,8.333333333,20.5,40.6504065,20.66666667,25.5,81.04575163,9.666666667,31.5,41.16666667,18.33333333,6.166666667,3.5,10.83333333,18.33333333
2012,Runner Up,98,36.6,80.4,45.52238806,6.4,21,30.47619048,18.4,23.8,77.31092437,9.8,28.2,38,15.8,7.2,5,11,22.4
2013,Champion,98.5,38,82.16666667,46.2474645,9.333333333,20.5,45.52845528,13.16666667,16.83333333,78.21782178,10,28.66666667,38.66666667,21.33333333,9.5,5.666666667,12.5,22.16666667
2013,Runner Up,97.71428571,35.85714286,79.57142857,45.06283662,8.714285714,21.42857143,40.66666667,17.28571429,22.57142857,76.58227848,10.57142857,31.28571429,41.85714286,18.42857143,7,4.285714286,13.57142857,16.85714286
2014,Champion,105.6,38.2,72.4,52.76243094,11,23.6,46.61016949,18.2,24.4,74.59016393,7.8,30,37.8,25.4,8,3.4,13.4,19.8
2014,Runner Up,91.6,33.6,71.2,47.19101124,9.2,23.2,39.65517241,15.2,20.6,73.78640777,5.6,26.6,32.2,15.2,8,2.2,14.4,23
2015,Champion,100.6666667,36.16666667,83,43.57429719,11.16666667,31,36.02150538,17.16666667,24.83333333,69.12751678,10.5,33.66666667,44.16666667,23,8,5,12.66666667,24.16666667
2015,Runner Up,93.5,32.66666667,85.16666667,38.35616438,8.166666667,27.83333333,29.34131737,20,28.5,70.1754386,12.5,35,47.5,15.83333333,7.5,5,12.16666667,22.16666667
2016,Champion,100.4285714,37.57142857,82.42857143,45.58058925,8,24.28571429,32.94117647,17.28571429,23.85714286,72.45508982,11.71428571,32.14285714,43.85714286,18,9.285714286,5.428571429,13.28571429,21
2016,Runner Up,99.85714286,35.57142857,82.57142857,43.07958478,13.42857143,36,37.3015873,15.28571429,20.71428571,73.79310345,10.28571429,29.57142857,39.85714286,22.57142857,6.571428571,5.714285714,13.71428571,21.42857143
2017,Champion,121.6,43.2,91,47.47252747,14.2,37.2,38.17204301,21,25.6,82.03125,12.2,33.6,45.8,29.4,7.6,4.4,13.4,24.4
2017,Runner Up,114.8,41.6,90.2,46.11973392,13.2,34.6,38.15028902,18.4,24.6,74.79674797,11.6,32,43.6,21.6,7.2,3.6,13.2,22.4
